TERM,ACAD_CAREER,COURSE CODE,CLASS SECTION,START DATE,END DATE,MON,TUE,WED,THU,FRI,SAT,SUN,VENUE,START TIME,END TIME,COURSE TITLE,OFFER DEPT,INSTRUCTOR
2019-20 Sem 1,UGME,BBMS2004,1A,2019-09-03,2019-10-15,,TUE,,,,,,MWT5,13:00,14:50,Introduction to Human Anatomy,School of Biomedical Sciences,"Chan,Wing Yan Camie; Chang,Chuen Chung Raymond; Cheung,Annie; Ching,Yick Pang; Chung,Sookja Kim; Huen,Shing Yan Michael; Tipoe,George Lim; Yang,Jian; Yip,Ka Fun Henry; Yip,Sui Ping Vera"
2019-20 Sem 1,UGME,BBMS2004,1A,2019-09-05,2019-10-17,,,,THU,,,,JLG05,10:30,12:20,Introduction to Human Anatomy,School of Biomedical Sciences,"Chan,Wing Yan Camie; Chang,Chuen Chung Raymond; Cheung,Annie; Ching,Yick Pang; Chung,Sookja Kim; Huen,Shing Yan Michael; Tipoe,George Lim; Yang,Jian; Yip,Ka Fun Henry; Yip,Sui Ping Vera"
2019-20 Sem 1,UGME,BBMS2004,1A,2019-09-05,2019-10-17,,,,THU,,,,,10:30,12:20,Introduction to Human Anatomy,School of Biomedical Sciences,"Chan,Wing Yan Camie; Chang,Chuen Chung Raymond; Cheung,Annie; Ching,Yick Pang; Chung,Sookja Kim; Huen,Shing Yan Michael; Tipoe,George Lim; Yang,Jian; Yip,Ka Fun Henry; Yip,Sui Ping Vera"
2019-20 Sem 1,UGME,BBMS2004,1A,2019-10-29,2019-12-03,,TUE,,,,,,MWT5,13:00,14:50,Introduction to Human Anatomy,School of Biomedical Sciences,"Chan,Wing Yan Camie; Chang,Chuen Chung Raymond; Cheung,Annie; Ching,Yick Pang; Chung,Sookja Kim; Huen,Shing Yan Michael; Tipoe,George Lim; Yang,Jian; Yip,Ka Fun Henry; Yip,Sui Ping Vera"
2019-20 Sem 1,UGME,BBMS2004,1A,2019-10-31,2019-12-05,,,,THU,,,,JLG05,10:30,12:20,Introduction to Human Anatomy,School of Biomedical Sciences,"Chan,Wing Yan Camie; Chang,Chuen Chung Raymond; Cheung,Annie; Ching,Yick Pang; Chung,Sookja Kim; Huen,Shing Yan Michael; Tipoe,George Lim; Yang,Jian; Yip,Ka Fun Henry; Yip,Sui Ping Vera"
2019-20 Sem 1,UGME,BBMS2004,1A,2019-10-31,2019-12-05,,,,THU,,,,,10:30,12:20,Introduction to Human Anatomy,School of Biomedical Sciences,"Chan,Wing Yan Camie; Chang,Chuen Chung Raymond; Cheung,Annie; Ching,Yick Pang; Chung,Sookja Kim; Huen,Shing Yan Michael; Tipoe,George Lim; Yang,Jian; Yip,Ka Fun Henry; Yip,Sui Ping Vera"
2019-20 Sem 1,UGME,BBMS2006,1A,2019-09-02,2019-09-30,MON,,,,,,,LE3,08:30,10:20,Physiological Basis of Health and Disease,School of Biomedical Sciences,"Ballard,Heather Janet; Boheler,Kenneth Richard; Chan,Ying Shing; Cheung,King Ho; Fung,Man Lung; Lai,Kwok On; Lee,Kai Fai Calvin; Lim,Lee Wei; Lung,Kin Yum Mary Agnes; Poon,Ming See Angela; Shiu,Yuen Wing Stephen"
2019-20 Sem 1,UGME,BBMS2006,1A,2019-09-06,2019-10-11,,,,,FRI,,,JLG04,09:30,12:20,Physiological Basis of Health and Disease,School of Biomedical Sciences,"Ballard,Heather Janet; Boheler,Kenneth Richard; Chan,Ying Shing; Cheung,King Ho; Fung,Man Lung; Lai,Kwok On; Lee,Kai Fai Calvin; Lim,Lee Wei; Lung,Kin Yum Mary Agnes; Poon,Ming See Angela; Shiu,Yuen Wing Stephen"
2019-20 Sem 1,UGME,BBMS2006,1A,2019-09-06,2019-10-11,,,,,FRI,,,,09:30,12:20,Physiological Basis of Health and Disease,School of Biomedical Sciences,"Ballard,Heather Janet; Boheler,Kenneth Richard; Chan,Ying Shing; Cheung,King Ho; Fung,Man Lung; Lai,Kwok On; Lee,Kai Fai Calvin; Lim,Lee Wei; Lung,Kin Yum Mary Agnes; Poon,Ming See Angela; Shiu,Yuen Wing Stephen"
2019-20 Sem 1,UGME,BBMS2006,1A,2019-10-21,2019-11-25,MON,,,,,,,LE3,08:30,10:20,Physiological Basis of Health and Disease,School of Biomedical Sciences,"Ballard,Heather Janet; Boheler,Kenneth Richard; Chan,Ying Shing; Cheung,King Ho; Fung,Man Lung; Lai,Kwok On; Lee,Kai Fai Calvin; Lim,Lee Wei; Lung,Kin Yum Mary Agnes; Poon,Ming See Angela; Shiu,Yuen Wing Stephen"
2019-20 Sem 1,UGME,BBMS2006,1A,2019-10-25,2019-11-29,,,,,FRI,,,JLG04,09:30,12:20,Physiological Basis of Health and Disease,School of Biomedical Sciences,"Ballard,Heather Janet; Boheler,Kenneth Richard; Chan,Ying Shing; Cheung,King Ho; Fung,Man Lung; Lai,Kwok On; Lee,Kai Fai Calvin; Lim,Lee Wei; Lung,Kin Yum Mary Agnes; Poon,Ming See Angela; Shiu,Yuen Wing Stephen"
2019-20 Sem 1,UGME,BBMS2006,1A,2019-10-25,2019-11-29,,,,,FRI,,,,09:30,12:20,Physiological Basis of Health and Disease,School of Biomedical Sciences,"Ballard,Heather Janet; Boheler,Kenneth Richard; Chan,Ying Shing; Cheung,King Ho; Fung,Man Lung; Lai,Kwok On; Lee,Kai Fai Calvin; Lim,Lee Wei; Lung,Kin Yum Mary Agnes; Poon,Ming See Angela; Shiu,Yuen Wing Stephen"
2019-20 Sem 1,UGME,BBMS2007,1A,2019-09-02,2019-10-14,MON,,,,,,,KB112,11:30,13:20,Essential Molecular Biology,School of Biomedical Sciences,"Huang,Jiandong; Ng,Kit Ray; Wong,Choi Wah Brian; Zhou,Zhongjun"
2019-20 Sem 1,UGME,BBMS2007,1A,2019-09-05,2019-10-17,,,,THU,,,,MB256,09:30,10:20,Essential Molecular Biology,School of Biomedical Sciences,"Huang,Jiandong; Ng,Kit Ray; Wong,Choi Wah Brian; Zhou,Zhongjun"
2019-20 Sem 1,UGME,BBMS2007,1A,2019-10-28,2019-12-02,MON,,,,,,,KB112,11:30,13:20,Essential Molecular Biology,School of Biomedical Sciences,"Huang,Jiandong; Ng,Kit Ray; Wong,Choi Wah Brian; Zhou,Zhongjun"
2019-20 Sem 1,UGME,BBMS2007,1A,2019-10-31,2019-12-05,,,,THU,,,,MB256,09:30,10:20,Essential Molecular Biology,School of Biomedical Sciences,"Huang,Jiandong; Ng,Kit Ray; Wong,Choi Wah Brian; Zhou,Zhongjun"
2019-20 Sem 1,UGME,BBMS2009,1A,2019-09-02,2019-09-30,MON,,,,,,,MB113G,13:30,14:20,Introduction to Clinical Research,School of Biomedical Sciences,"Zhao,Jie; Zhi,Hui"
2019-20 Sem 1,UGME,BBMS2009,1A,2019-09-04,2019-10-09,,,WED,,,,,KKLG110,10:30,11:20,Introduction to Clinical Research,School of Biomedical Sciences,"Zhao,Jie; Zhi,Hui"
2019-20 Sem 1,UGME,BBMS2009,1A,2019-10-21,2019-11-25,MON,,,,,,,MB113G,13:30,14:20,Introduction to Clinical Research,School of Biomedical Sciences,"Zhao,Jie; Zhi,Hui"
2019-20 Sem 1,UGME,BBMS2009,1A,2019-10-23,2019-11-27,,,WED,,,,,KKLG110,10:30,11:20,Introduction to Clinical Research,School of Biomedical Sciences,"Zhao,Jie; Zhi,Hui"
2019-20 Sem 1,UGME,BBMS3001,1A,2019-09-03,2019-09-24,,TUE,,,,,,,14:30,16:20,Medical Microbiology,School of Biomedical Sciences,"Chan,Chi Wai Michael; Chan,Fuk Woo Jasper; Chan,Kwok Hung; Chen,Zhiwei; Kao,Yi Tsun Richard; To,Kai Wang Kelvin; Zhu,Huachen"
2019-20 Sem 1,UGME,BBMS3001,1A,2019-09-03,2019-09-27,,TUE,,,FRI,,,,14:30,16:20,Medical Microbiology,School of Biomedical Sciences,"Chan,Chi Wai Michael; Chan,Fuk Woo Jasper; Chan,Kwok Hung; Chen,Zhiwei; Kao,Yi Tsun Richard; To,Kai Wang Kelvin; Zhu,Huachen"
2019-20 Sem 1,UGME,BBMS3001,1A,2019-09-04,2019-10-09,,,WED,,,,,EH101,14:30,16:20,Medical Microbiology,School of Biomedical Sciences,"Chan,Chi Wai Michael; Chan,Fuk Woo Jasper; Chan,Kwok Hung; Chen,Zhiwei; Kao,Yi Tsun Richard; To,Kai Wang Kelvin; Zhu,Huachen"
2019-20 Sem 1,UGME,BBMS3001,1A,2019-09-06,2019-10-11,,,,,FRI,,,EH101,14:30,16:20,Medical Microbiology,School of Biomedical Sciences,"Chan,Chi Wai Michael; Chan,Fuk Woo Jasper; Chan,Kwok Hung; Chen,Zhiwei; Kao,Yi Tsun Richard; To,Kai Wang Kelvin; Zhu,Huachen"
2019-20 Sem 1,UGME,BBMS3001,1A,2019-10-04,2019-10-04,,,,,FRI,,,,14:30,16:20,Medical Microbiology,School of Biomedical Sciences,"Chan,Chi Wai Michael; Chan,Fuk Woo Jasper; Chan,Kwok Hung; Chen,Zhiwei; Kao,Yi Tsun Richard; To,Kai Wang Kelvin; Zhu,Huachen"
2019-20 Sem 1,UGME,BBMS3001,1A,2019-10-08,2019-10-08,,TUE,,,,,,,14:30,16:20,Medical Microbiology,School of Biomedical Sciences,"Chan,Chi Wai Michael; Chan,Fuk Woo Jasper; Chan,Kwok Hung; Chen,Zhiwei; Kao,Yi Tsun Richard; To,Kai Wang Kelvin; Zhu,Huachen"
2019-20 Sem 1,UGME,BBMS3001,1A,2019-10-08,2019-10-11,,TUE,,,FRI,,,,14:30,16:20,Medical Microbiology,School of Biomedical Sciences,"Chan,Chi Wai Michael; Chan,Fuk Woo Jasper; Chan,Kwok Hung; Chen,Zhiwei; Kao,Yi Tsun Richard; To,Kai Wang Kelvin; Zhu,Huachen"
2019-20 Sem 1,UGME,BBMS3001,1A,2019-10-22,2019-11-26,,TUE,,,,,,,14:30,16:20,Medical Microbiology,School of Biomedical Sciences,"Chan,Chi Wai Michael; Chan,Fuk Woo Jasper; Chan,Kwok Hung; Chen,Zhiwei; Kao,Yi Tsun Richard; To,Kai Wang Kelvin; Zhu,Huachen"
2019-20 Sem 1,UGME,BBMS3001,1A,2019-10-22,2019-11-29,,TUE,,,FRI,,,,14:30,16:20,Medical Microbiology,School of Biomedical Sciences,"Chan,Chi Wai Michael; Chan,Fuk Woo Jasper; Chan,Kwok Hung; Chen,Zhiwei; Kao,Yi Tsun Richard; To,Kai Wang Kelvin; Zhu,Huachen"
2019-20 Sem 1,UGME,BBMS3001,1A,2019-10-23,2019-11-27,,,WED,,,,,EH101,14:30,16:20,Medical Microbiology,School of Biomedical Sciences,"Chan,Chi Wai Michael; Chan,Fuk Woo Jasper; Chan,Kwok Hung; Chen,Zhiwei; Kao,Yi Tsun Richard; To,Kai Wang Kelvin; Zhu,Huachen"
2019-20 Sem 1,UGME,BBMS3001,1A,2019-10-25,2019-11-29,,,,,FRI,,,EH101,14:30,16:20,Medical Microbiology,School of Biomedical Sciences,"Chan,Chi Wai Michael; Chan,Fuk Woo Jasper; Chan,Kwok Hung; Chen,Zhiwei; Kao,Yi Tsun Richard; To,Kai Wang Kelvin; Zhu,Huachen"
2019-20 Sem 1,UGME,BBMS3002,1A,2019-09-03,2019-09-24,,TUE,,,,,,MW103,11:30,13:20,Molecular Biology of the Cell,School of Biomedical Sciences,"Chen,Jeng-Haur; Cheung,Chi Hang Martin; Huen,Shing Yan Michael; Lee,Pui Yue Nikki"
2019-20 Sem 1,UGME,BBMS3002,1A,2019-09-06,2019-10-11,,,,,FRI,,,MB122,11:30,13:20,Molecular Biology of the Cell,School of Biomedical Sciences,"Chen,Jeng-Haur; Cheung,Chi Hang Martin; Huen,Shing Yan Michael; Lee,Pui Yue Nikki"
2019-20 Sem 1,UGME,BBMS3002,1A,2019-10-08,2019-10-08,,TUE,,,,,,MW103,11:30,13:20,Molecular Biology of the Cell,School of Biomedical Sciences,"Chen,Jeng-Haur; Cheung,Chi Hang Martin; Huen,Shing Yan Michael; Lee,Pui Yue Nikki"
2019-20 Sem 1,UGME,BBMS3002,1A,2019-10-22,2019-11-26,,TUE,,,,,,MW103,11:30,13:20,Molecular Biology of the Cell,School of Biomedical Sciences,"Chen,Jeng-Haur; Cheung,Chi Hang Martin; Huen,Shing Yan Michael; Lee,Pui Yue Nikki"
2019-20 Sem 1,UGME,BBMS3002,1A,2019-10-25,2019-11-29,,,,,FRI,,,MB122,11:30,13:20,Molecular Biology of the Cell,School of Biomedical Sciences,"Chen,Jeng-Haur; Cheung,Chi Hang Martin; Huen,Shing Yan Michael; Lee,Pui Yue Nikki"
2019-20 Sem 1,UGME,BBMS3009,1A,2019-09-02,2019-09-30,MON,,,,,,,MB141,15:30,17:20,Genome Science,School of Biomedical Sciences,"Chung,Hon Yin Brian; Li,Miaoxin; Sham,Pak Chung; Song,You-qiang; Yang,Wanling"
2019-20 Sem 1,UGME,BBMS3009,1A,2019-09-03,2019-09-24,,TUE,,,,,,MB151,16:30,17:20,Genome Science,School of Biomedical Sciences,"Chung,Hon Yin Brian; Li,Miaoxin; Sham,Pak Chung; Song,You-qiang; Yang,Wanling"
2019-20 Sem 1,UGME,BBMS3009,1A,2019-10-08,2019-10-08,,TUE,,,,,,MB151,16:30,17:20,Genome Science,School of Biomedical Sciences,"Chung,Hon Yin Brian; Li,Miaoxin; Sham,Pak Chung; Song,You-qiang; Yang,Wanling"
2019-20 Sem 1,UGME,BBMS3009,1A,2019-10-21,2019-11-25,MON,,,,,,,MB141,15:30,17:20,Genome Science,School of Biomedical Sciences,"Chung,Hon Yin Brian; Li,Miaoxin; Sham,Pak Chung; Song,You-qiang; Yang,Wanling"
2019-20 Sem 1,UGME,BBMS3009,1A,2019-10-22,2019-11-26,,TUE,,,,,,MB151,16:30,17:20,Genome Science,School of Biomedical Sciences,"Chung,Hon Yin Brian; Li,Miaoxin; Sham,Pak Chung; Song,You-qiang; Yang,Wanling"
2019-20 Sem 1,UGME,BBMS3010,1A,2019-09-04,2019-10-11,,,WED,,FRI,,,MB113G,09:30,11:20,Emerging Infections,School of Biomedical Sciences,"Chan,Chi Wai Michael; Chan,Kwok Hung; Chen,Honglin; Chen,Zhiwei; Lam,Tsan Yuk; Yen,Hui-Ling; Yeung,Man Lung; Zhu,Huachen"
2019-20 Sem 1,UGME,BBMS3010,1A,2019-10-23,2019-11-29,,,WED,,FRI,,,MB113G,09:30,11:20,Emerging Infections,School of Biomedical Sciences,"Chan,Chi Wai Michael; Chan,Kwok Hung; Chen,Honglin; Chen,Zhiwei; Lam,Tsan Yuk; Yen,Hui-Ling; Yeung,Man Lung; Zhu,Huachen"
2019-20 Sem 1,UGME,BBMS3011,1A,2019-09-03,2019-09-24,,TUE,,,,,,MB113G,09:30,11:20,Molecular Neuroscience,School of Biomedical Sciences,"Chan,Ying Shing; Chang,Chuen Chung Raymond; Cheung,Chi Hang Martin; Cheung,King Ho; Chung,Sookja Kim; Lai,Kwok On; Lai,Sau Wan Cora; Lee,Chi Wai; Lim,Lee Wei; Shum,Kwok Yan Daisy"
2019-20 Sem 1,UGME,BBMS3011,1A,2019-09-05,2019-10-10,,,,THU,,,,KKLG101,15:30,17:20,Molecular Neuroscience,School of Biomedical Sciences,"Chan,Ying Shing; Chang,Chuen Chung Raymond; Cheung,Chi Hang Martin; Cheung,King Ho; Chung,Sookja Kim; Lai,Kwok On; Lai,Sau Wan Cora; Lee,Chi Wai; Lim,Lee Wei; Shum,Kwok Yan Daisy"
2019-20 Sem 1,UGME,BBMS3011,1A,2019-10-08,2019-10-08,,TUE,,,,,,MB113G,09:30,11:20,Molecular Neuroscience,School of Biomedical Sciences,"Chan,Ying Shing; Chang,Chuen Chung Raymond; Cheung,Chi Hang Martin; Cheung,King Ho; Chung,Sookja Kim; Lai,Kwok On; Lai,Sau Wan Cora; Lee,Chi Wai; Lim,Lee Wei; Shum,Kwok Yan Daisy"
2019-20 Sem 1,UGME,BBMS3011,1A,2019-10-22,2019-11-26,,TUE,,,,,,MB113G,09:30,11:20,Molecular Neuroscience,School of Biomedical Sciences,"Chan,Ying Shing; Chang,Chuen Chung Raymond; Cheung,Chi Hang Martin; Cheung,King Ho; Chung,Sookja Kim; Lai,Kwok On; Lai,Sau Wan Cora; Lee,Chi Wai; Lim,Lee Wei; Shum,Kwok Yan Daisy"
2019-20 Sem 1,UGME,BBMS3011,1A,2019-10-24,2019-11-28,,,,THU,,,,KKLG101,15:30,17:20,Molecular Neuroscience,School of Biomedical Sciences,"Chan,Ying Shing; Chang,Chuen Chung Raymond; Cheung,Chi Hang Martin; Cheung,King Ho; Chung,Sookja Kim; Lai,Kwok On; Lai,Sau Wan Cora; Lee,Chi Wai; Lim,Lee Wei; Shum,Kwok Yan Daisy"
2019-20 Sem 1,UGME,BBMS3018,1A,2019-09-03,2019-09-24,,TUE,,,,,,CYPP2,14:30,16:20,Biomechanics and Biomedical Technologies,School of Biomedical Sciences,"Chan,Pui Barbara; Chu,Zhiqin; Hu,Yong; Lim,Lee Wei; Wang,Weiping; Yeung,Wai Kwok Kelvin; Yuan,Lin"
2019-20 Sem 1,UGME,BBMS3018,1A,2019-09-05,2019-10-10,,,,THU,,,,MWT4,14:30,16:20,Biomechanics and Biomedical Technologies,School of Biomedical Sciences,"Chan,Pui Barbara; Chu,Zhiqin; Hu,Yong; Lim,Lee Wei; Wang,Weiping; Yeung,Wai Kwok Kelvin; Yuan,Lin"
2019-20 Sem 1,UGME,BBMS3018,1A,2019-10-08,2019-10-08,,TUE,,,,,,CYPP2,14:30,16:20,Biomechanics and Biomedical Technologies,School of Biomedical Sciences,"Chan,Pui Barbara; Chu,Zhiqin; Hu,Yong; Lim,Lee Wei; Wang,Weiping; Yeung,Wai Kwok Kelvin; Yuan,Lin"
2019-20 Sem 1,UGME,BBMS3018,1A,2019-10-22,2019-11-26,,TUE,,,,,,CYPP2,14:30,16:20,Biomechanics and Biomedical Technologies,School of Biomedical Sciences,"Chan,Pui Barbara; Chu,Zhiqin; Hu,Yong; Lim,Lee Wei; Wang,Weiping; Yeung,Wai Kwok Kelvin; Yuan,Lin"
2019-20 Sem 1,UGME,BBMS3018,1A,2019-10-24,2019-11-28,,,,THU,,,,MWT4,14:30,16:20,Biomechanics and Biomedical Technologies,School of Biomedical Sciences,"Chan,Pui Barbara; Chu,Zhiqin; Hu,Yong; Lim,Lee Wei; Wang,Weiping; Yeung,Wai Kwok Kelvin; Yuan,Lin"
2019-20 Sem 1,UGME,BCHM1601,1A,2019-09-02,2019-09-30,MON,,,,,,,MB113G,14:30,16:20,Foundation Theories of Chinese Medicine,School of Chinese Medicine,"Wang,Lin; Wu,Junmei"
2019-20 Sem 1,UGME,BCHM1601,1A,2019-09-03,2019-09-26,,TUE,,THU,,,,,10:30,12:20,Foundation Theories of Chinese Medicine,School of Chinese Medicine,"Wang,Lin; Wu,Junmei"
2019-20 Sem 1,UGME,BCHM1601,1A,2019-09-06,2019-10-11,,,,,FRI,,,,15:30,17:20,Foundation Theories of Chinese Medicine,School of Chinese Medicine,"Wang,Lin; Wu,Junmei"
2019-20 Sem 1,UGME,BCHM1601,1A,2019-10-03,2019-10-03,,,,THU,,,,,10:30,12:20,Foundation Theories of Chinese Medicine,School of Chinese Medicine,"Wang,Lin; Wu,Junmei"
2019-20 Sem 1,UGME,BCHM1601,1A,2019-10-08,2019-10-10,,TUE,,THU,,,,,10:30,12:20,Foundation Theories of Chinese Medicine,School of Chinese Medicine,"Wang,Lin; Wu,Junmei"
2019-20 Sem 1,UGME,BCHM1601,1A,2019-10-21,2019-11-25,MON,,,,,,,MB113G,14:30,16:20,Foundation Theories of Chinese Medicine,School of Chinese Medicine,"Wang,Lin; Wu,Junmei"
2019-20 Sem 1,UGME,BCHM1601,1A,2019-10-22,2019-11-28,,TUE,,THU,,,,,10:30,12:20,Foundation Theories of Chinese Medicine,School of Chinese Medicine,"Wang,Lin; Wu,Junmei"
2019-20 Sem 1,UGME,BCHM1601,1A,2019-10-25,2019-11-29,,,,,FRI,,,,15:30,17:20,Foundation Theories of Chinese Medicine,School of Chinese Medicine,"Wang,Lin; Wu,Junmei"
2019-20 Sem 1,UGME,BCHM2601,1A,2019-09-02,2019-09-24,MON,TUE,,,,,,,08:30,11:20,Chinese Materia Medica,School of Chinese Medicine,"Feng,Yibin; Zhang,Yanbo"
2019-20 Sem 1,UGME,BCHM2601,1A,2019-09-05,2019-10-10,,,,THU,,,,,14:30,16:20,Chinese Materia Medica,School of Chinese Medicine,"Feng,Yibin; Zhang,Yanbo"
2019-20 Sem 1,UGME,BCHM2601,1A,2019-09-30,2019-09-30,MON,,,,,,,,08:30,11:20,Chinese Materia Medica,School of Chinese Medicine,"Feng,Yibin; Zhang,Yanbo"
2019-20 Sem 1,UGME,BCHM2601,1A,2019-10-08,2019-10-08,,TUE,,,,,,,08:30,11:20,Chinese Materia Medica,School of Chinese Medicine,"Feng,Yibin; Zhang,Yanbo"
2019-20 Sem 1,UGME,BCHM2601,1A,2019-10-21,2019-11-26,MON,TUE,,,,,,,08:30,11:20,Chinese Materia Medica,School of Chinese Medicine,"Feng,Yibin; Zhang,Yanbo"
2019-20 Sem 1,UGME,BCHM2601,1A,2019-10-24,2019-11-28,,,,THU,,,,,14:30,16:20,Chinese Materia Medica,School of Chinese Medicine,"Feng,Yibin; Zhang,Yanbo"
2019-20 Sem 1,UGME,BCHM2602,1A,2019-09-02,2019-09-30,MON,,,,,,,,11:30,12:20,Archaic Chinese Medical Literature,School of Chinese Medicine,"Shi,Jun"
2019-20 Sem 1,UGME,BCHM2602,1A,2019-09-03,2019-09-24,,TUE,,,,,,,16:30,18:20,Archaic Chinese Medical Literature,School of Chinese Medicine,"Shi,Jun"
2019-20 Sem 1,UGME,BCHM2602,1A,2019-10-08,2019-10-08,,TUE,,,,,,,16:30,18:20,Archaic Chinese Medical Literature,School of Chinese Medicine,"Shi,Jun"
2019-20 Sem 1,UGME,BCHM2602,1A,2019-10-21,2019-11-25,MON,,,,,,,,11:30,12:20,Archaic Chinese Medical Literature,School of Chinese Medicine,"Shi,Jun"
2019-20 Sem 1,UGME,BCHM2602,1A,2019-10-22,2019-11-26,,TUE,,,,,,,16:30,18:20,Archaic Chinese Medical Literature,School of Chinese Medicine,"Shi,Jun"
2019-20 Sem 1,UGME,BCHM2607FY,FA,2019-09-03,2019-09-24,,TUE,,,,,,,08:30,10:20,Medical Ethics and Professionalism in Chinese Medicine Practice,School of Chinese Medicine,
2019-20 Sem 1,UGME,BCHM2607FY,FA,2019-10-08,2019-11-26,,TUE,,,,,,,08:30,10:20,Medical Ethics and Professionalism in Chinese Medicine Practice,School of Chinese Medicine,
2019-20 Sem 1,UGME,BCHM3601,1A,2019-09-02,2019-10-08,MON,TUE,,,,,,MBG07,14:30,16:20,Canon of Chinese Medicine,School of Chinese Medicine,
2019-20 Sem 1,UGME,BCHM3601,1A,2019-09-04,2019-10-09,,,WED,,,,,,09:30,11:20,Canon of Chinese Medicine,School of Chinese Medicine,
2019-20 Sem 1,UGME,BCHM3601,1A,2019-10-21,2019-11-26,MON,TUE,,,,,,MBG07,14:30,16:20,Canon of Chinese Medicine,School of Chinese Medicine,
2019-20 Sem 1,UGME,BCHM3601,1A,2019-10-23,2019-11-27,,,WED,,,,,,09:30,11:20,Canon of Chinese Medicine,School of Chinese Medicine,
2019-20 Sem 1,UGME,BCHM3602FY,FA,2019-09-02,2019-11-26,MON,TUE,,,,,,MB113G,16:30,18:20,Chinese Internal Medicine,School of Chinese Medicine,"Shen,Jiangang; Shi,Jun; Wu,Junmei; Wu,Wei"
2019-20 Sem 1,UGME,BCHM3602FY,FA,2019-09-04,2019-11-27,,,WED,,,,,,11:30,13:20,Chinese Internal Medicine,School of Chinese Medicine,"Shen,Jiangang; Shi,Jun; Wu,Junmei; Wu,Wei"
2019-20 Sem 1,UGME,BCHM3602FY,FA,2019-09-06,2019-10-11,,,,,FRI,,,,15:30,17:20,Chinese Internal Medicine,School of Chinese Medicine,"Shen,Jiangang; Shi,Jun; Wu,Junmei; Wu,Wei"
2019-20 Sem 1,UGME,BCHM3602FY,FA,2019-10-25,2019-11-29,,,,,FRI,,,,15:30,17:20,Chinese Internal Medicine,School of Chinese Medicine,"Shen,Jiangang; Shi,Jun; Wu,Junmei; Wu,Wei"
2019-20 Sem 1,UGME,BCHM3605,1A,2019-09-04,2019-11-27,,,WED,,,,,,14:30,16:20,Immunology,School of Chinese Medicine,"Au,Yuen Ling Elaine; Chan,Yuk Tat Eric; Ip,Wai Ki; Kwok,Siu Yin Janette; Lu,Liwei; Tang,Hin Ning Alexander"
2019-20 Sem 1,UGME,BCHM3606FY,FA,2019-09-03,2019-09-27,,TUE,,,FRI,,,,14:30,16:20,Pathology,School of Chinese Medicine,"Au Yeung,Kwok Him Rex; Beh,Swan Lip; Cheung,Nga Yin Annie; Leung,Suet Yi; Lo,Cheuk Lam Regina; Ng,Oi Lin Irene; Nicholls,John Malcolm; Sin,Chun Fung; Tang,Hin Ning Alexander; Wong,Pik Maria"
2019-20 Sem 1,UGME,BCHM3606FY,FA,2019-10-04,2019-10-04,,,,,FRI,,,,14:30,16:20,Pathology,School of Chinese Medicine,"Au Yeung,Kwok Him Rex; Beh,Swan Lip; Cheung,Nga Yin Annie; Leung,Suet Yi; Lo,Cheuk Lam Regina; Ng,Oi Lin Irene; Nicholls,John Malcolm; Sin,Chun Fung; Tang,Hin Ning Alexander; Wong,Pik Maria"
2019-20 Sem 1,UGME,BCHM3606FY,FA,2019-10-08,2019-10-11,,TUE,,,FRI,,,,14:30,16:20,Pathology,School of Chinese Medicine,"Au Yeung,Kwok Him Rex; Beh,Swan Lip; Cheung,Nga Yin Annie; Leung,Suet Yi; Lo,Cheuk Lam Regina; Ng,Oi Lin Irene; Nicholls,John Malcolm; Sin,Chun Fung; Tang,Hin Ning Alexander; Wong,Pik Maria"
2019-20 Sem 1,UGME,BCHM3606FY,FA,2019-10-22,2019-11-29,,TUE,,,FRI,,,,14:30,16:20,Pathology,School of Chinese Medicine,"Au Yeung,Kwok Him Rex; Beh,Swan Lip; Cheung,Nga Yin Annie; Leung,Suet Yi; Lo,Cheuk Lam Regina; Ng,Oi Lin Irene; Nicholls,John Malcolm; Sin,Chun Fung; Tang,Hin Ning Alexander; Wong,Pik Maria"
2019-20 Sem 1,UGME,BCHM4604,1A,2019-09-02,2019-09-30,MON,,,,,,,,14:30,16:20,Surgery of Chinese Medicine,School of Chinese Medicine,
2019-20 Sem 1,UGME,BCHM4604,1A,2019-09-04,2019-10-09,,,WED,,,,,,16:30,18:20,Surgery of Chinese Medicine,School of Chinese Medicine,
2019-20 Sem 1,UGME,BCHM4604,1A,2019-09-05,2019-10-10,,,,THU,,,,,14:30,16:20,Surgery of Chinese Medicine,School of Chinese Medicine,
2019-20 Sem 1,UGME,BCHM4604,1A,2019-09-06,2019-10-11,,,,,FRI,,,,09:30,11:20,Surgery of Chinese Medicine,School of Chinese Medicine,
2019-20 Sem 1,UGME,BCHM4604,1A,2019-10-21,2019-11-25,MON,,,,,,,,14:30,16:20,Surgery of Chinese Medicine,School of Chinese Medicine,
2019-20 Sem 1,UGME,BCHM4604,1A,2019-10-23,2019-11-27,,,WED,,,,,,16:30,18:20,Surgery of Chinese Medicine,School of Chinese Medicine,
2019-20 Sem 1,UGME,BCHM4604,1A,2019-10-24,2019-11-28,,,,THU,,,,,14:30,16:20,Surgery of Chinese Medicine,School of Chinese Medicine,
2019-20 Sem 1,UGME,BCHM4604,1A,2019-10-25,2019-11-29,,,,,FRI,,,,09:30,11:20,Surgery of Chinese Medicine,School of Chinese Medicine,
