ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
2004,BBMS,2004,1A,,6,"Chan,Wing Yan Camie; Chang,Chuen Chung Raymond; Cheung,Annie; Ching,Yick Pang; Chung,Sookja Kim; Huen,Shing Yan Michael; Tipoe,George Lim; Yang,Jian; Yip,Ka Fun Henry; Yip,Sui Ping Vera",Tu 01:00PM - 02:50PM,MWT5,09/03/2019 - 12/03/2019,,Th 10:30AM - 12:20PM,JLG05,09/05/2019 - 12/05/2019,,,,,,,,,Introduction to Human Anatomy,,Open,0,100,0,UGME - School of Biomedical Sciences
2006,BBMS,2006,1A,,6,"Ballard,Heather Janet; Boheler,Kenneth Richard; Chan,Ying Shing; Cheung,King Ho; Fung,Man Lung; Lai,Kwok On; Lee,Kai Fai Calvin; Lim,Lee Wei; Lung,Kin Yum Mary Agnes; Poon,Ming See Angela; Shiu,Yuen Wing Stephen",Mo 08:30AM - 10:20AM,LE3,09/02/2019 - 11/25/2019,,Fr 09:30AM - 12:20PM,JLG04,09/06/2019 - 11/29/2019,,,,,,,,,Physiological Basis of Health and Disease,,Open,0,100,0,UGME - School of Biomedical Sciences
2007,BBMS,2007,1A,,6,"Huang,Jiandong; Ng,Kit Ray; Wong,Choi Wah Brian; Zhou,Zhongjun",Mo 11:30AM - 01:20PM,KB112,09/02/2019 - 12/02/2019,,Th 09:30AM - 10:20AM,MB256,09/05/2019 - 12/05/2019,,,,,,,,,Essential Molecular Biology,,Open,0,100,0,UGME - School of Biomedical Sciences
2009,BBMS,2009,1A,,6,"Zhao,Jie; Zhi,Hui",Mo 01:30PM - 02:20PM,MB113G,09/02/2019 - 11/25/2019,,We 10:30AM - 11:20AM,KKLG110,09/04/2019 - 11/27/2019,,,,,,,,,Introduction to Clinical Research,,Open,0,100,0,UGME - School of Biomedical Sciences
3001,BBMS,3001,1A,,6,"Chan,Chi Wai Michael; Chan,Fuk Woo Jasper; Chan,Kwok Hung; Chen,Zhiwei; Kao,Yi Tsun Richard; To,Kai Wang Kelvin; Zhu,Huachen",We 02:30PM - 04:20PM,EH101,09/04/2019 - 11/27/2019,,Fr 02:30PM - 04:20PM,EH101,09/06/2019 - 11/29/2019,,,,,,,,,Medical Microbiology,,Open,0,100,0,UGME - School of Biomedical Sciences
3002,BBMS,3002,1A,,6,"Chen,Jeng-Haur; Cheung,Chi Hang Martin; Huen,Shing Yan Michael; Lee,Pui Yue Nikki",Tu 11:30AM - 01:20PM,MW103,09/03/2019 - 11/26/2019,,Fr 11:30AM - 01:20PM,MB122,09/06/2019 - 11/29/2019,,,,,,,,,Molecular Biology of the Cell,,Open,0,100,0,UGME - School of Biomedical Sciences
3009,BBMS,3009,1A,,6,"Chung,Hon Yin Brian; Li,Miaoxin; Sham,Pak Chung; Song,You-qiang; Yang,Wanling",Mo 03:30PM - 05:20PM,MB141,09/02/2019 - 11/25/2019,,Tu 04:30PM - 05:20PM,MB151,09/03/2019 - 11/26/2019,,,,,,,,,Genome Science,,Open,0,100,0,UGME - School of Biomedical Sciences
3010,BBMS,3010,1A,,6,"Chan,Chi Wai Michael; Chan,Kwok Hung; Chen,Honglin; Chen,Zhiwei; Lam,Tsan Yuk; Yen,Hui-Ling; Yeung,Man Lung; Zhu,Huachen",WeFr 09:30AM - 11:20AM,MB113G,09/04/2019 - 11/29/2019,,,,,,,,,,,,,Emerging Infections,,Open,0,100,0,UGME - School of Biomedical Sciences
3011,BBMS,3011,1A,,6,"Chan,Ying Shing; Chang,Chuen Chung Raymond; Cheung,Chi Hang Martin; Cheung,King Ho; Chung,Sookja Kim; Lai,Kwok On; Lai,Sau Wan Cora; Lee,Chi Wai; Lim,Lee Wei; Shum,Kwok Yan Daisy",Tu 09:30AM - 11:20AM,MB113G,09/03/2019 - 11/26/2019,,Th 03:30PM - 05:20PM,KKLG101,09/05/2019 - 11/28/2019,,,,,,,,,Molecular Neuroscience,,Open,0,100,0,UGME - School of Biomedical Sciences
3018,BBMS,3018,1A,,6,"Chan,Pui Barbara; Chu,Zhiqin; Hu,Yong; Lim,Lee Wei; Wang,Weiping; Yeung,Wai Kwok Kelvin; Yuan,Lin",Tu 02:30PM - 04:20PM,CYPP2,09/03/2019 - 11/26/2019,,Th 02:30PM - 04:20PM,MWT4,09/05/2019 - 11/28/2019,,,,,,,,,Biomechanics and Biomedical Technologies,,Open,0,100,0,UGME - School of Biomedical Sciences
1601,BCHM,1601,1A,,6,"Wang,Lin; Wu,Junmei",Mo 02:30PM - 04:20PM,MB113G,09/02/2019 - 11/25/2019,,,,,,,,,,,,,Foundation Theories of Chinese Medicine,,Open,0,100,0,UGME - School of Chinese Medicine
3601,BCHM,3601,1A,,6,,MoTu 02:30PM - 04:20PM,MBG07,09/02/2019 - 11/26/2019,,,,,,,,,,,,,Canon of Chinese Medicine,,Open,0,100,0,UGME - School of Chinese Medicine
2114,BPHM,2114,1A,,6,,Mo 09:30AM - 11:20AM,KKLG101,09/02/2019 - 11/25/2019,,Th 11:30AM - 12:20PM,MB249,09/05/2019 - 11/28/2019,,Fr 09:30AM - 12:20PM,MB121,09/06/2019 - 11/29/2019,,,,,"Anatomy, Physiology & Pathophysiology II",,Open,0,100,0,UGME - Dept of Pharmacology & Pharmac
2137,BPHM,2137,1A,,6,,MoTu 11:30AM - 01:20PM,MBG07,09/02/2019 - 11/26/2019,,,,,,,,,,,,,Essential Organic Chemistry,,Open,0,100,0,UGME - Dept of Pharmacology & Pharmac
2141,BPHM,2141,1A,,6,"Chan,Wing Lam Phoebe; Chu,Kwok Pui Jody; Lam,Pui San May; Leung,Pak Heng George; Man,Ying Keung Ricky; Tai,Hok Leung Morris; Wang,Yu",Tu 09:30AM - 11:20AM,JLG04,09/03/2019 - 11/26/2019,,Fr 02:30PM - 04:20PM,LE5,09/06/2019 - 11/29/2019,,Th 02:30PM - 04:20PM,CPD-1.22,09/12/2019 - 09/19/2019,,,,,Pharmacology and Clinical Pharmacy I,,Open,0,100,0,UGME - Dept of Pharmacology & Pharmac
3115,BPHM,3115,1A,,6,,TuTh 09:30AM - 11:20AM,JLG01,09/03/2019 - 11/28/2019,,,,,,,,,,,,,Microbiology and Immunology,,Open,0,100,0,UGME - Dept of Pharmacology & Pharmac
3132,BPHM,3132,1A,,6,,Mo 09:30AM - 11:20AM,MB113G,09/02/2019 - 11/25/2019,,We 10:30AM - 12:20PM,KKLG107,09/04/2019 - 11/27/2019,,Fr 02:30PM - 04:20PM,MB113G,09/06/2019 - 11/29/2019,,Fr 02:30PM - 05:20PM,MB113G,11/08/2019 - 11/08/2019,Dosage Form Design,,Open,0,100,0,UGME - Dept of Pharmacology & Pharmac
3143,BPHM,3143,1A,,6,,MoTuThFr 11:30AM - 01:20PM,MB113G,09/02/2019 - 11/29/2019,,,,,,,,,,,,,Pharmacology and Clinical Pharmacy III,,Open,0,100,0,UGME - Dept of Pharmacology & Pharmac
3144,BPHM,3144,1A,,6,,We 02:30PM - 04:20PM,MB100,09/04/2019 - 11/27/2019,,We 04:30PM - 06:20PM,MB249,09/04/2019 - 11/27/2019,,,,,,,,,Pharmacology and Clinical Pharmacy IV,,Open,0,100,0,UGME - Dept of Pharmacology & Pharmac
3151,BPHM,3151,1A,,6,,Th 02:30PM - 04:20PM,EH101,09/05/2019 - 11/28/2019,,Fr 09:30AM - 11:20AM,EH101,09/06/2019 - 11/29/2019,,,,,,,,,"Principles of Pharmacognosy, Herbal Medicines & Nutraceuticals",,Open,0,100,0,UGME - Dept of Pharmacology & Pharmac
4124,BPHM,4124,1A,,6,,MoTuTh 06:30PM - 08:20PM,MB100,09/02/2019 - 10/31/2019,,Mo 07:00PM - 08:50PM,MB100,09/09/2019 - 09/30/2019,,Tu 07:00PM - 08:50PM,MB100,09/10/2019 - 09/10/2019,,Th 07:00PM - 08:50PM,MB100,10/03/2019 - 10/03/2019,Pharmacy Practice III,,Open,0,100,0,UGME - Dept of Pharmacology & Pharmac
4135,BPHM,4135,1A,,6,,MoTh 01:30PM - 03:20PM,MWT5,09/02/2019 - 11/28/2019,,Th 03:30PM - 05:20PM,KB111,09/05/2019 - 11/28/2019,,,,,,,,,Industrial Drug Development,,Open,0,100,0,UGME - Dept of Pharmacology & Pharmac
4148,BPHM,4148,1A,,6,,Mo 03:30PM - 05:20PM,KK201,09/02/2019 - 11/25/2019,,,,,,,,,,,,,Clinical Pharmacy,,Open,0,100,0,UGME - Dept of Pharmacology & Pharmac
4151,BPHM,4151,1A,,6,,Tu 09:00AM - 12:50PM,TT404,09/03/2019 - 11/26/2019,,Sa 09:00AM - 01:20PM,MB100,09/07/2019 - 11/30/2019,,,,,,,,,Cosmetic Science,,Open,0,100,0,UGME - Dept of Pharmacology & Pharmac
1001,DENT,1001,1A,,6,,Mo 09:00AM - 04:50PM,PP,09/02/2019 - 12/09/2019,,Tu 09:00AM - 11:50AM,PP,09/03/2019 - 12/10/2019,,We 09:00AM - 11:50AM,PP,09/04/2019 - 12/11/2019,,Th 09:00AM - 04:50PM,PP,09/05/2019 - 12/12/2019,Dentistry: Integrated Semester I,,Open,0,100,0,UGDE - Dental Faculty
2001,DENT,2001,1A,,6,,Mo 09:00AM - 04:50PM,PP,09/02/2019 - 12/09/2019,,Tu 09:00AM - 11:50AM,PP,09/03/2019 - 12/10/2019,,We 09:00AM - 11:50AM,PP,09/04/2019 - 12/11/2019,,Th 09:00AM - 04:50PM,PP,09/05/2019 - 12/12/2019,Dentistry: Integrated Semester III,,Open,0,100,0,UGDE - Dental Faculty
3001,DENT,3001,1A,,6,,Mo 09:00AM - 04:50PM,PP,09/02/2019 - 12/09/2019,,Tu 09:00AM - 04:50PM,PP,09/03/2019 - 12/10/2019,,We 09:00AM - 04:50PM,PP,09/04/2019 - 12/11/2019,,Th 09:00AM - 04:50PM,PP,09/05/2019 - 12/12/2019,Dentistry: Integrated Semester V,,Open,0,100,0,UGDE - Dental Faculty
4001,DENT,4001,1A,,6,,Mo 09:00AM - 04:50PM,PP,09/02/2019 - 12/09/2019,,Tu 09:00AM - 04:50PM,PP,09/03/2019 - 12/10/2019,,We 09:00AM - 04:50PM,PP,09/04/2019 - 12/11/2019,,Th 09:00AM - 04:50PM,PP,09/05/2019 - 12/12/2019,Dentistry: Integrated Semester VII,,Open,0,100,0,UGDE - Dental Faculty
5001,DENT,5001,1A,,6,,Mo 09:00AM - 04:50PM,PP,09/02/2019 - 12/09/2019,,Tu 09:00AM - 04:50PM,PP,09/03/2019 - 12/10/2019,,We 09:00AM - 04:50PM,PP,09/04/2019 - 12/11/2019,,Th 09:00AM - 04:50PM,PP,09/05/2019 - 12/12/2019,Dentistry: Integrated Semester IX,,Open,0,100,0,UGDE - Dental Faculty
6101,DENT,6101,1A,,6,,Mo 09:00AM - 04:50PM,PP,09/02/2019 - 12/09/2019,,Tu 09:00AM - 04:50PM,PP,09/03/2019 - 12/10/2019,,We 09:00AM - 04:50PM,PP,09/04/2019 - 12/11/2019,,Th 09:00AM - 04:50PM,PP,09/05/2019 - 12/12/2019,Dentistry: Integrated Semester XI,,Open,0,100,0,UGDE - Dental Faculty
1101,ACCT,1101,1A,,6,"Kwong,Sze Ting Jasmine",Mo 02:30PM - 03:20PM,KK201,09/02/2019 - 11/25/2019,,Th 01:30PM - 03:20PM,KK201,09/05/2019 - 11/28/2019,,,,,,,,,Introduction to financial accounting,,Open,0,100,0,UG - Faculty of Business and Econom
1101,ACCT,1101,1B,,6,"Kwong,Sze Ting Jasmine",Tu 10:30AM - 12:20PM,KK102,09/03/2019 - 11/26/2019,,Fr 11:30AM - 12:20PM,KK102,09/06/2019 - 11/29/2019,,,,,,,,,Introduction to financial accounting,,Open,0,100,0,UG - Faculty of Business and Econom
1101,ACCT,1101,1C,,6,"Kwong,Sze Ting Jasmine",Tu 01:30PM - 03:20PM,CYPP3,09/03/2019 - 11/26/2019,,Fr 02:30PM - 03:20PM,CYPP3,09/06/2019 - 11/29/2019,,,,,,,,,Introduction to financial accounting,,Open,0,100,0,UG - Faculty of Business and Econom
1101,ACCT,1101,1D,,6,"Na,Ke",Mo 09:30AM - 12:20PM,KKLG103,09/02/2019 - 11/25/2019,,,,,,,,,,,,,Introduction to financial accounting,,Open,0,100,0,UG - Faculty of Business and Econom
1101,ACCT,1101,1E,,6,"Na,Ke",Mo 02:30PM - 05:20PM,KKLG109,09/02/2019 - 11/25/2019,,,,,,,,,,,,,Introduction to financial accounting,,Open,0,100,0,UG - Faculty of Business and Econom
1101,ACCT,1101,1F,,6,"Na,Ke",Tu 01:30PM - 04:20PM,LE5,09/03/2019 - 11/26/2019,,,,,,,,,,,,,Introduction to financial accounting,,Open,0,100,0,UG - Faculty of Business and Econom
1101,ACCT,1101,1G,,6,"Leung,Shek Ling Olivia",Tu 01:30PM - 04:20PM,MB103,09/03/2019 - 11/26/2019,,,,,,,,,,,,,Introduction to financial accounting,,Open,0,100,0,UG - Faculty of Business and Econom
1101,ACCT,1101,1H,,6,"Leung,Shek Ling Olivia",Th 01:30PM - 04:20PM,MWT6,09/05/2019 - 11/28/2019,,,,,,,,,,,,,Introduction to financial accounting,,Open,0,100,0,UG - Faculty of Business and Econom
1101,ACCT,1101,1I,,6,"Leung,Shek Ling Olivia",Fr 02:30PM - 05:20PM,KK201,09/06/2019 - 11/29/2019,,,,,,,,,,,,,Introduction to financial accounting,,Open,0,100,0,UG - Faculty of Business and Econom
1101,ACCT,1101,1J,,6,"Lee,Kyung Ran",Mo 09:30AM - 12:20PM,KKLG104,09/02/2019 - 11/25/2019,,,,,,,,,,,,,Introduction to financial accounting,,Open,0,100,0,UG - Faculty of Business and Econom
1101,ACCT,1101,1K,,6,"Lee,Kyung Ran",Mo 02:30PM - 05:20PM,KK101,09/02/2019 - 11/25/2019,,,,,,,,,,,,,Introduction to financial accounting,,Open,0,100,0,UG - Faculty of Business and Econom
1101,ACCT,1101,1L,,6,"Lee,Kyung Ran",We 09:30AM - 12:20PM,KKLG103,09/04/2019 - 11/27/2019,,,,,,,,,,,,,Introduction to financial accounting,,Open,0,100,0,UG - Faculty of Business and Econom
2102,ACCT,2102,1A,,6,"Wang,Xin",Mo 09:30AM - 11:20AM,KB223,09/02/2019 - 11/25/2019,,Th 09:30AM - 10:20AM,KKLG110,09/05/2019 - 11/28/2019,,,,,,,,,Intermediate financial accounting I,,Open,0,100,0,UG - Faculty of Business and Econom
2102,ACCT,2102,1B,,6,"Wang,Xin",Mo 09:30AM - 11:20AM,KB223,09/02/2019 - 11/25/2019,,Th 10:30AM - 11:20AM,KKLG110,09/05/2019 - 11/28/2019,,,,,,,,,Intermediate financial accounting I,,Open,0,100,0,UG - Faculty of Business and Econom
2102,ACCT,2102,1C,,6,"Wang,Xin",Mo 09:30AM - 11:20AM,KB223,09/02/2019 - 11/25/2019,,Th 11:30AM - 12:20PM,KKLG110,09/05/2019 - 11/28/2019,,,,,,,,,Intermediate financial accounting I,,Open,0,100,0,UG - Faculty of Business and Econom
2102,ACCT,2102,1D,,6,"Wang,Xin",Mo 09:30AM - 11:20AM,KB223,09/02/2019 - 11/25/2019,,Th 01:30PM - 02:20PM,KKLG110,09/05/2019 - 11/28/2019,,,,,,,,,Intermediate financial accounting I,,Open,0,100,0,UG - Faculty of Business and Econom
2102,ACCT,2102,1E,,6,"Wang,Xin",Mo 09:30AM - 11:20AM,KB223,09/02/2019 - 11/25/2019,,Th 02:30PM - 03:20PM,KKLG110,09/05/2019 - 11/28/2019,,,,,,,,,Intermediate financial accounting I,,Open,0,100,0,UG - Faculty of Business and Econom
2102,ACCT,2102,1F,,6,"Wang,Xin",Mo 09:30AM - 11:20AM,KB223,09/02/2019 - 11/25/2019,,Th 03:30PM - 04:20PM,KKLG110,09/05/2019 - 11/28/2019,,,,,,,,,Intermediate financial accounting I,,Open,0,100,0,UG - Faculty of Business and Econom
2105,ACCT,2105,1A,,6,"Kim,Tae Wook",Mo 09:30AM - 12:20PM,MB141,09/02/2019 - 11/25/2019,,,,,,,,,,,,,Introduction to management accounting,,Open,0,100,0,UG - Faculty of Business and Econom
2105,ACCT,2105,1B,,6,"Kim,Tae Wook",Mo 02:30PM - 05:20PM,MB122,09/02/2019 - 11/25/2019,,,,,,,,,,,,,Introduction to management accounting,,Open,0,100,0,UG - Faculty of Business and Econom
2105,ACCT,2105,1C,,6,"Kim,Tae Wook",Tu 09:30AM - 12:20PM,KK713,09/03/2019 - 11/26/2019,,,,,,,,,,,,,Introduction to management accounting,,Open,0,100,0,UG - Faculty of Business and Econom
3103,ACCT,3103,1A,,6,"Chan,Him Lai Lilian",Mo 09:30AM - 12:20PM,KKLG102,09/02/2019 - 11/25/2019,,,,,,,,,,,,,Intermediate financial accounting II,,Open,0,100,0,UG - Faculty of Business and Econom
3103,ACCT,3103,1B,,6,"Chan,Him Lai Lilian",We 09:30AM - 12:20PM,KK201,09/04/2019 - 11/27/2019,,,,,,,,,,,,,Intermediate financial accounting II,,Open,0,100,0,UG - Faculty of Business and Econom
3106,ACCT,3106,1A,,6,"Wu,Yu-Ching Steve",Mo 10:30AM - 11:20AM,KKLG110,09/02/2019 - 11/25/2019,,Th 10:30AM - 12:20PM,CYPP2,09/05/2019 - 11/28/2019,,,,,,,,,Management control,,Open,0,100,0,UG - Faculty of Business and Econom
3106,ACCT,3106,1B,,6,"Wu,Yu-Ching Steve",Mo 11:30AM - 12:20PM,KKLG110,09/02/2019 - 11/25/2019,,Th 10:30AM - 12:20PM,CYPP2,09/05/2019 - 11/28/2019,,,,,,,,,Management control,,Open,0,100,0,UG - Faculty of Business and Econom
3106,ACCT,3106,1C,,6,"Wu,Yu-Ching Steve",Mo 12:30PM - 01:20PM,KKLG110,09/02/2019 - 11/25/2019,,Th 10:30AM - 12:20PM,CYPP2,09/05/2019 - 11/28/2019,,,,,,,,,Management control,,Open,0,100,0,UG - Faculty of Business and Econom
3106,ACCT,3106,1D,,6,"Wu,Yu-Ching Steve",Tu 09:30AM - 10:20AM,KKLG110,09/03/2019 - 11/26/2019,,Th 10:30AM - 12:20PM,CYPP2,09/05/2019 - 11/28/2019,,,,,,,,,Management control,,Open,0,100,0,UG - Faculty of Business and Econom
3106,ACCT,3106,1E,,6,"Wu,Yu-Ching Steve",Tu 10:30AM - 11:20AM,KKLG110,09/03/2019 - 11/26/2019,,Th 10:30AM - 12:20PM,CYPP2,09/05/2019 - 11/28/2019,,,,,,,,,Management control,,Open,0,100,0,UG - Faculty of Business and Econom
3106,ACCT,3106,1F,,6,"Wu,Yu-Ching Steve",Tu 11:30AM - 12:20PM,KKLG110,09/03/2019 - 11/26/2019,,Th 10:30AM - 12:20PM,CYPP2,09/05/2019 - 11/28/2019,,,,,,,,,Management control,,Open,0,100,0,UG - Faculty of Business and Econom
3107,ACCT,3107,1A,,6,"Ng,Yeuk Mei Christina",Mo 02:30PM - 05:20PM,KK301,09/02/2019 - 11/25/2019,,,,,,,,,,,,,Hong Kong taxation,,Open,0,100,0,UG - Faculty of Business and Econom
3107,ACCT,3107,1B,,6,"Ng,Yeuk Mei Christina",Tu 01:30PM - 04:20PM,LE7,09/03/2019 - 11/26/2019,,,,,,,,,,,,,Hong Kong taxation,,Open,0,100,0,UG - Faculty of Business and Econom
3107,ACCT,3107,1C,,6,"Ng,Yeuk Mei Christina",Th 01:30PM - 04:20PM,LE7,09/05/2019 - 11/28/2019,,,,,,,,,,,,,Hong Kong taxation,,Open,0,100,0,UG - Faculty of Business and Econom
3109,ACCT,3109,1A,,6,"Fung,Lai Kin Sammy",Tu 01:30PM - 04:20PM,KKLG103,09/03/2019 - 11/26/2019,,,,,,,,,,,,,Auditing,,Open,0,100,0,UG - Faculty of Business and Econom
3109,ACCT,3109,1B,,6,"Fung,Lai Kin Sammy",Th 01:30PM - 04:20PM,LE6,09/05/2019 - 11/28/2019,,,,,,,,,,,,,Auditing,,Open,0,100,0,UG - Faculty of Business and Econom
3109,ACCT,3109,1C,,6,"Fung,Lai Kin Sammy",Fr 02:30PM - 05:20PM,KKLG106,09/06/2019 - 11/29/2019,,,,,,,,,,,,,Auditing,,Open,0,100,0,UG - Faculty of Business and Econom
3112,ACCT,3112,1A,,6,"Bishop,David Lorin",Mo 08:30AM - 09:20AM,KKLG110,09/02/2019 - 11/25/2019,,We 08:30AM - 10:20AM,KKLG110,09/04/2019 - 11/27/2019,,Fr 09:30AM - 12:20PM,KB111,09/06/2019 - 11/29/2019,,,,,Accounting data management and analytics,,Open,0,100,0,UG - Faculty of Business and Econom
3112,ACCT,3112,1B,,6,,Mo 11:30AM - 12:20PM,MB201,09/02/2019 - 11/25/2019,,Th 10:30AM - 12:20PM,MB201,09/05/2019 - 11/28/2019,,,,,,,,,Accounting data management and analytics,,Open,0,100,0,UG - Faculty of Business and Econom
3112,ACCT,3112,1C,,6,,Tu 10:30AM - 12:20PM,KKLG102,09/03/2019 - 11/26/2019,,Tu 04:30PM - 06:20PM,KKLG106,09/03/2019 - 11/26/2019,,Tu 12:30PM - 01:20PM,MB151,09/03/2019 - 11/26/2019,,Tu 01:30PM - 03:20PM,MW325,09/03/2019 - 11/26/2019,Accounting data management and analytics,,Open,0,100,0,UG - Faculty of Business and Econom
4104,ACCT,4104,1A,,6,"Leung,Siu Ching",Mo 02:30PM - 05:20PM,LE7,09/02/2019 - 11/25/2019,,,,,,,,,,,,,Advanced financial accounting,,Open,0,100,0,UG - Faculty of Business and Econom
4104,ACCT,4104,1B,,6,"Leung,Siu Ching",Fr 02:30PM - 05:20PM,MB141,09/06/2019 - 11/29/2019,,,,,,,,,,,,,Advanced financial accounting,,Open,0,100,0,UG - Faculty of Business and Econom
1027,AFFC,1027,1A,,6,"Lim,Jae Hyun",Th 10:30AM - 12:20PM,KK101,09/05/2019 - 11/28/2019,,,,,,,,,,,,,Introduction to Landscape City Architecture,,Open,0,100,0,UG - Dept of Architecture
1028,AFFC,1028,1A,,6,"Mc Kee,Daniel Chad",We 10:30AM - 12:20PM,CYPP2,09/04/2019 - 11/27/2019,,,,,,,,,,,,,Sustainability and the Built Environment,,Open,0,100,0,UG - Dept of Architecture
1001,AFRI,1001,1A,,6,"Tesfaye,Facil",Tu 10:30AM - 12:20PM,CPD-2.19,09/03/2019 - 11/26/2019,,,,,,,,,,,,,Foundations in African Studies,,Open,0,100,0,UG - School of Modern Languages & C
2011,AFRI,2011,1A,,6,"Samwel,Isaac Oyugi Ater",Fr 04:30PM - 06:20PM,CPD-2.39,09/06/2019 - 11/29/2019,,,,,,,,,,,,,Kiswahili I,,Open,0,100,0,UG - School of Modern Languages & C
2018,AFRI,2018,1A,,6,"Ibanez Garcia,Estela",Tu 04:30PM - 06:20PM,CPD-2.19,09/03/2019 - 11/26/2019,,,,,,,,,,,,,African Art(s),,Open,0,100,0,UG - School of Modern Languages & C
2019,AFRI,2019,1A,,6,"Ibanez Garcia,Estela",We 10:30AM - 12:20PM,CPD-2.45,09/04/2019 - 11/27/2019,,,,,,,,,,,,,African cinema: “Film’in” Africa,,Open,0,100,0,UG - School of Modern Languages & C
3002,AFRI,3002,1A,,6,"Tesfaye,Facil",Th 01:30PM - 03:20PM,CPD-2.14,09/05/2019 - 11/28/2019,,,,,,,,,,,,,Africa studies workshop,,Open,0,100,0,UG - School of Modern Languages & C
1050,AMER,1050,1A,,6,"Mc Grath,Patrick Terence",Tu 10:30AM - 11:20AM,CPD-2.16,09/03/2019 - 11/26/2019,,Th 10:30AM - 11:20AM,CPD-2.16,09/05/2019 - 11/28/2019,,Fr 09:30AM - 10:20AM,CPD-2.16,09/06/2019 - 11/29/2019,,,,,"Foundations of American Studies, I: The origins of the nation",,Open,0,100,0,UG - School of Modern Languages & C
2029,AMER,2029,1A,,6,"Young,She Xiang John Orien",Mo 12:30PM - 02:20PM,CPD-1.42,09/02/2019 - 11/25/2019,,,,,,,,,,,,,Current perspectives on the U.S.,,Open,0,100,0,UG - School of Modern Languages & C
2042,AMER,2042,1A,,6,,Tu 01:30PM - 03:20PM,CPD-4.16,09/03/2019 - 11/26/2019,,,,,,,,,,,,,Consuming culture: decoding American symbols,,Open,0,100,0,UG - School of Modern Languages & C
2045,AMER,2045,1A,,6,"Gruenewald,Tim",We 10:30AM - 12:20PM,KKLG106,09/04/2019 - 11/27/2019,,,,,,,,,,,,,Film beyond the mainstream: American art cinema,,Open,0,100,0,UG - School of Modern Languages & C
2052,AMER,2052,1A,,6,,Fr 12:30PM - 02:20PM,CPD-2.47,09/06/2019 - 11/29/2019,,,,,,,,,,,,,Studies in American culture and society,,Open,0,100,0,UG - School of Modern Languages & C
2057,AMER,2057,1A,,6,"Tierney,Sean Michael",Fr 03:30PM - 05:20PM,MW103,09/06/2019 - 11/29/2019,,,,,,,,,,,,,Africian American cinema,,Open,0,100,0,UG - School of Modern Languages & C
3050,AMER,3050,1A,,6,"Ford,Stacilee",Th 10:30AM - 12:20PM,CPD-G.03,09/05/2019 - 11/28/2019,,,,,,,,,,,,,"Foundations of American Studies, III: Capstone",,Open,0,100,0,UG - School of Modern Languages & C
1001,APAI,1001,1A,,6,"Yao,Jianfeng Jeff",Mo 08:30AM - 09:20AM,KKLG107,09/02/2019 - 11/25/2019,,We 08:30AM - 10:20AM,KKLG107,09/04/2019 - 11/27/2019,,,,,,,,,"Artificial intelligence: foundation, philosophy and ethics",,Open,0,100,0,UG - Science Faculty
1001,ARAB,1001,1A,,6,,Mo 12:30PM - 02:20PM,CPD-3.07,09/02/2019 - 11/25/2019,,Fr 12:30PM - 02:20PM,CPD-3.07,09/06/2019 - 11/29/2019,,,,,,,,,Arabic I.1,,Open,0,100,0,UG - School of Modern Languages & C
1001,ARAB,1001,1B,,6,,Tu 10:30AM - 12:20PM,CPD-LG.63,09/03/2019 - 11/26/2019,,Th 10:30AM - 12:20PM,CPD-LG.63,09/05/2019 - 11/28/2019,,,,,,,,,Arabic I.1,,Open,0,100,0,UG - School of Modern Languages & C
2001,ARAB,2001,1A,,6,,Tu 01:30PM - 03:20PM,CPD-1.23,09/03/2019 - 11/26/2019,,Th 01:30PM - 03:20PM,CPD-1.23,09/05/2019 - 11/28/2019,,,,,,,,,Arabic II.1,,Open,0,100,0,UG - School of Modern Languages & C
3001,ARAB,3001,1A,,6,,Mo 09:30AM - 11:20AM,CPD-3.25,09/02/2019 - 11/25/2019,,Fr 09:30AM - 11:20AM,CPD-3.25,09/06/2019 - 11/29/2019,,,,,,,,,Arabic III.1,,Open,0,100,0,UG - School of Modern Languages & C
1031,ARCH,1031,1A,,6,"Coates,Gavin Scott",Fr 09:30AM - 12:20PM,KB112,09/06/2019 - 11/29/2019,,,,,,,,,,,,,Landscape Representation 1: Forms and Methods,,Open,0,100,0,UG - Dept of Architecture
2055,ARCH,2055,1A,,6,,Th 10:30AM - 12:20PM,LE7,09/05/2019 - 11/28/2019,,,,,,,,,,,,,Visual Communication 1 - Drawing,,Open,0,100,0,UG - Dept of Architecture
2058,ARCH,2058,1A,,6,,We 10:30AM - 12:20PM,LE2,09/04/2019 - 11/27/2019,,,,,,,,,,,,,Architectural History and Theory 1 - Modern Architecture,,Open,0,100,0,UG - Dept of Architecture
2059,ARCH,2059,1A,,6,,We 10:30AM - 12:20PM,KKLG102,09/04/2019 - 11/27/2019,,,,,,,,,,,,,Architectural History and Theory 2 - Global Perspectives I,,Open,0,100,0,UG - Architecture Faculty
2061,ARCH,2061,1A,,6,,We 10:30AM - 12:20PM,LE6,09/04/2019 - 11/27/2019,,,,,,,,,,,,,Architectural History and Theory 4 - The City,,Open,0,100,0,UG - Architecture Faculty
